 postid | likes | dislikes 
   1496 |     7 |        4
   1497 |     2 |        2
   1498 |     1 |        1
   1499 |     4 |        2
   1500 |     1 |        1
   1501 |     3 |        1
   1503 |     3 |        4
   1504 |     5 |        2
   1506 |     8 |        7
   1507 |     8 |        5
   1508 |     5 |        7
   1509 |     3 |        5
   1510 |     8 |        6
   1511 |     2 |        1
   1512 |     5 |       10
   1513 |     1 |        4
   1514 |     8 |        6
   1515 |     8 |        7
   1516 |     1 |        1
   1519 |     3 |        7
   1521 |     4 |        1
   1522 |     1 |        1
   1523 |     1 |        4
   1524 |     6 |        2
   1525 |     1 |        7
   1526 |     6 |        3
   1528 |     5 |        6
   1529 |    12 |        3
   1530 |     5 |       10
   1531 |     1 |        1
   1532 |     1 |        2
   1533 |     2 |        6
   1534 |    10 |        5
   1535 |     1 |        1
   1536 |     5 |       10
   1537 |     1 |        4
   1538 |     5 |        4
   1539 |     6 |        9
   1540 |     8 |        5
   1541 |     5 |        2
   1542 |     1 |        4
   1543 |     3 |        2
   1544 |     8 |        7
   1545 |    11 |        3
   1547 |     9 |        5
   1548 |     6 |        6
   1549 |     6 |        4
   1550 |     3 |       11
   1551 |     3 |        4
   1552 |     3 |        3
   1553 |     2 |        3
   1554 |     3 |        7
   1555 |     3 |        2
   1556 |     3 |        2
   1557 |     3 |       11
   1558 |     1 |        1
   1559 |     2 |        2
   1560 |     3 |        9
   1561 |     3 |        2
   1562 |     4 |        1
   1564 |     3 |        5
   1565 |     2 |        2
   1567 |     3 |        1
   1569 |     2 |        4
   1571 |     1 |        3
   1572 |     2 |        3
   1573 |     3 |        4
   1574 |     3 |        6
   1575 |     2 |        1
   1576 |     6 |        3
   1577 |     8 |        4
   1578 |     4 |        9
   1580 |     7 |        7
   1581 |     1 |        3
   1582 |     5 |        1
   1584 |     4 |        5
   1585 |     1 |        3
   1586 |     4 |        4
   1587 |     9 |        4
   1588 |    10 |        5
   1589 |     7 |        4
   1590 |     3 |        2
   1591 |     2 |        9
   1592 |     4 |        2
   1593 |     6 |        2
   1594 |     4 |        6
   1595 |     8 |        6
   1596 |     4 |        2
   1597 |     1 |        1
   1598 |     1 |        4
   1599 |     8 |        7
   1600 |     4 |        5
   1601 |     4 |        4
   1603 |     3 |        1
   1604 |     8 |        7
   1605 |     8 |        4
   1606 |     2 |        2
   1607 |    11 |        4
   1608 |     1 |        2
   1609 |     8 |        6
   1610 |     2 |        5
   1611 |     1 |        1
   1612 |     7 |        4
   1613 |     6 |        2
   1614 |     6 |        5
   1615 |     8 |        6
   1616 |     4 |        3
   1617 |     7 |        5
   1618 |     2 |        7
   1619 |     7 |        8
   1620 |     7 |        3
   1621 |     1 |        2
   1622 |     3 |        3
   1623 |     2 |        5
   1624 |     5 |        8
   1625 |    10 |        5
   1626 |     2 |        5
   1627 |     6 |        9
   1628 |     4 |        4
   1629 |     3 |        9
   1630 |     2 |        1
   1632 |     7 |        6
   1633 |     1 |        2
   1634 |     2 |        2
   1635 |     2 |        6
   1636 |     9 |        6
   1637 |     3 |        1
   1638 |     6 |        5
   1639 |     2 |        3
   1640 |     4 |        4
   1641 |     7 |        5
   1642 |     1 |        1
   1644 |    10 |        4
   1645 |     9 |        5
   1646 |     5 |        4
   1647 |     7 |        1
   1648 |     8 |        3
   1649 |     7 |        8
   1650 |     4 |        2
   1651 |     4 |        2
   1653 |     3 |        6
   1654 |     6 |        2
   1656 |     5 |        4
   1657 |     2 |        1
   1658 |     3 |        4
   1659 |     4 |        4
   1660 |     2 |        1
   1661 |     6 |        1
   1662 |     1 |        1
   1663 |     8 |        3
   1664 |     3 |        7
   1666 |     8 |        3
   1667 |     5 |        7
   1668 |     6 |        4
   1669 |     6 |        1
   1671 |     2 |        1
   1672 |     4 |        4
   1673 |     4 |        5
   1674 |     1 |        2
   1675 |     6 |        4
   1676 |     7 |        2
   1677 |     8 |        6
   1678 |     3 |        5
   1679 |     1 |        2
   1680 |     4 |        6
   1681 |     8 |        7
   1682 |     3 |        8
   1683 |     2 |        4
   1684 |     4 |        9
   1685 |     2 |        4
   1686 |     1 |        2
   1688 |     1 |        1
   1689 |    11 |        4
   1691 |     8 |        2
   1693 |     3 |        8
   1696 |     4 |       10
   1697 |     5 |        3
   1698 |     4 |        4
   1699 |     3 |        1
   1702 |     7 |        4
   1703 |     3 |        7
   1705 |     8 |        3
   1706 |     6 |        5
   1707 |     8 |        6
   1709 |     1 |        2
   1711 |     4 |        8
   1712 |     1 |        8
   1713 |     5 |        5
   1714 |     3 |        4
   1715 |     1 |        1
   1717 |     4 |        7
   1718 |     2 |        4
   1719 |     2 |        3
   1720 |     6 |        6
   1722 |     7 |        3
   1724 |     4 |       11
   1725 |     3 |        4
   1726 |     9 |        2
   1729 |     5 |        6
   1730 |     2 |        1
   1731 |     3 |        6
   1733 |     8 |        1
   1734 |     5 |       10
   1735 |     5 |       10
   1736 |     4 |        4
   1737 |     2 |        5
   1738 |     4 |        3
   1739 |     7 |        8
   1742 |     4 |        1
   1743 |     8 |        6
   1744 |     7 |        6
   1746 |     8 |        7
   1747 |     6 |        9
   1748 |     7 |        8
   1749 |     4 |        8
   1750 |     1 |        1
   1751 |     2 |        1
   1752 |     6 |        7
   1753 |     2 |        2
   1754 |     3 |        4
   1755 |     3 |        1
   1756 |     2 |        7
   1757 |     6 |        6
   1758 |     5 |        5
   1759 |     6 |        4
   1761 |     4 |        3
   1762 |     6 |        8
   1763 |     4 |        2
   1764 |     2 |        1
   1765 |     1 |        1
   1766 |     1 |        2
   1767 |     1 |        3
   1768 |     6 |        8
   1769 |     8 |        6
   1770 |    11 |        4
   1771 |    11 |        4
   1772 |     6 |        2
   1774 |     3 |        1
   1775 |     7 |        6
   1777 |     3 |        3
   1778 |     9 |        1
   1779 |     2 |        2
   1780 |     5 |        1
   1781 |     9 |        6
   1782 |     3 |        4
   1783 |     6 |        6
   1784 |     6 |        1
   1785 |     4 |        2
   1786 |     4 |        2
   1787 |     7 |        8
   1788 |     1 |        1
   1789 |     2 |        1
   1790 |     8 |        5
   1791 |     2 |        4
   1792 |     2 |        4
   1793 |     7 |        7
   1794 |     3 |        9
   1797 |     2 |        4
   1798 |     2 |        1
   1799 |     9 |        6
   1800 |     7 |        8
   1801 |     3 |        1
   1802 |     7 |        8
   1807 |     8 |        5
   1808 |     3 |        4
   1810 |     6 |        6
   1811 |     2 |        1
   1812 |     2 |        3
   1813 |     3 |        7
   1814 |     2 |        2
   1815 |     4 |        3
   1816 |     3 |        4
   1817 |     8 |        3
   1818 |     3 |        4
   1821 |     3 |        6
   1823 |     9 |        5
   1824 |     4 |        3
   1825 |     5 |        1
   1826 |     3 |        8
   1827 |     7 |        8
   1828 |     7 |        7
   1829 |     3 |        3
   1830 |     7 |        6
   1831 |     8 |        2
   1832 |     2 |        4
   1833 |     6 |        9
   1835 |     2 |        2
   1836 |     1 |        3
   1837 |     3 |        4
   1838 |     4 |        9
   1839 |     7 |        3
   1840 |     2 |        2
   1841 |     3 |        1
   1842 |     2 |        2
   1843 |     3 |        4
   1844 |     1 |        4
   1845 |     4 |        2
   1846 |     4 |        2
   1847 |     3 |        3
   1848 |     3 |        5
   1849 |     6 |        6
   1851 |     5 |        7
   1854 |     2 |        3
   1855 |     4 |        1
   1860 |     8 |        7
   1861 |     6 |        9
   1862 |     5 |        4
   1863 |     3 |        5
   1865 |     5 |        7
   1866 |     3 |        3
   1867 |     3 |        3
   1868 |     5 |        4
   1869 |     7 |        8
   1870 |     1 |        3
   1871 |     9 |        6
   1872 |     4 |        3
   1873 |     4 |       11
   1874 |     6 |        6
   1875 |     7 |        5
   1878 |     6 |        4
   1879 |     6 |        4
   1880 |     1 |        2
   1881 |     1 |        5
   1882 |     1 |        5
   1883 |     5 |        3
   1884 |     3 |        4
   1885 |     8 |        6
   1886 |     7 |        6
   1887 |     7 |        5
   1888 |     3 |        2
   1890 |     3 |        4
   1891 |     5 |        3
   1893 |     6 |        7
   1894 |     1 |        2
   1896 |     6 |        9
   1897 |     5 |        8
   1899 |     7 |        8
   1901 |     4 |        2
   1902 |     6 |        8
   1904 |     6 |        5
   1905 |     7 |        6
   1906 |     3 |        1
   1907 |     4 |        6
   1908 |     5 |        7
   1910 |     6 |        8
   1911 |     4 |        3
   1912 |     3 |        2
   1913 |     1 |        2
   1914 |     1 |        2
   1915 |     1 |        2
   1916 |     2 |        9
   1917 |     4 |        5
   1918 |     3 |        2
   1919 |     5 |        7
   1920 |     5 |        4
   1921 |     5 |        5
   1922 |     4 |        6
   1923 |     5 |        3
   1924 |     6 |        8
   1925 |    11 |        2
   1926 |     5 |        3
   1928 |     3 |        2
   1929 |     4 |        5
   1931 |     2 |        3
   1932 |     8 |        6
   1933 |     6 |        6
   1934 |     5 |        2
   1935 |     1 |        5
   1936 |     1 |        8
   1938 |     3 |        3
   1939 |     2 |        6
   1941 |     5 |        8
   1942 |     4 |        2
   1943 |     1 |        3
   1945 |    11 |        4
   1946 |     4 |        9
   1947 |     4 |        7
   1948 |     3 |        2
   1949 |     4 |        2
   1950 |     8 |        6
   1951 |     2 |        4
   1952 |     1 |        3
   1953 |     2 |        2
   1955 |     5 |        1
   1956 |     8 |        5
   1958 |     7 |        6
   1959 |     3 |        3
   1960 |     3 |        4
   1961 |     1 |        5
   1962 |     5 |        2
   1963 |     6 |        8
   1964 |     3 |        6
   1965 |     7 |        5
   1966 |     4 |        2
   1967 |     8 |        7
   1968 |     6 |        4
   1969 |     8 |        6
   1970 |     9 |        5
   1971 |     6 |        2
   1972 |     5 |        7
   1973 |     1 |        5
   1975 |     3 |        3
   1976 |     4 |        3
   1977 |     3 |        5
   1979 |     4 |        3
   1980 |     4 |        3
   1981 |     4 |        2
   1982 |     2 |        1
   1984 |     8 |        7
   1985 |     2 |        2
   1986 |     4 |        6
   1987 |     1 |        1
   1988 |     3 |        4
   1989 |     4 |        7
   1990 |     3 |       10
   1991 |     4 |        4
   1993 |     5 |        6
   1994 |    11 |        2
   1995 |     4 |        4
   1997 |     2 |        3
   1998 |     5 |        9
   1999 |     8 |        7
(1653 rows)
